key_norm,key_type,raw_value,source
a melhor do baile,title,a melhor do baile,OBRAS/FONOGRAMAS/Eligible
a melhor versao de mim,title,a melhor versao de mim,OBRAS/FONOGRAMAS/Eligible
a metafora nem sempre serve,title,a metafora nem sempre serve,OBRAS/FONOGRAMAS/Eligible
a mina,title,a mina,OBRAS/FONOGRAMAS/Eligible
a moca que eu vi na tv,title,a moca que eu vi na tv,OBRAS/FONOGRAMAS/Eligible
a moda,title,a moda,OBRAS/FONOGRAMAS/Eligible
a morte do messias,title,a morte do messias,OBRAS/FONOGRAMAS/Eligible
a morte pede carona,title,a morte pede carona,OBRAS/FONOGRAMAS/Eligible
a morte pede carona (instrumental),title,a morte pede carona (instrumental),OBRAS/FONOGRAMAS/Eligible
a musa que me quer assim,title,a musa que me quer assim,OBRAS/FONOGRAMAS/Eligible
a musica mais inspiradora do seculo xxi,title,a musica mais inspiradora do seculo xxi,OBRAS/FONOGRAMAS/Eligible
a musica mais violenta da coletanea do,title,a musica mais violenta da coletanea do,OBRAS/FONOGRAMAS/Eligible
a noite nao e de ninguem,title,a noite nao e de ninguem,OBRAS/FONOGRAMAS/Eligible
a nordestina,title,a nordestina,OBRAS/FONOGRAMAS/Eligible
a nova 1,title,a nova 1,OBRAS/FONOGRAMAS/Eligible
a onda das novinhas,title,a onda das novinhas,OBRAS/FONOGRAMAS/Eligible
a peca na cintura,title,a peca na cintura,OBRAS/FONOGRAMAS/Eligible
a pedra,title,a pedra,OBRAS/FONOGRAMAS/Eligible
a piada e essa,title,a piada e essa,OBRAS/FONOGRAMAS/Eligible
a pior mentira,title,a pior mentira,OBRAS/FONOGRAMAS/Eligible
a prece,title,a prece,OBRAS/FONOGRAMAS/Eligible
a princesa e o plebeu,title,a princesa e o plebeu,OBRAS/FONOGRAMAS/Eligible
a procura de aventura,title,a procura de aventura,OBRAS/FONOGRAMAS/Eligible
a raba,title,a raba,OBRAS/FONOGRAMAS/Eligible
a rede,title,a rede,OBRAS/FONOGRAMAS/Eligible
a resenha do homem gol,title,a resenha do homem gol,OBRAS/FONOGRAMAS/Eligible
a ressurreicao,title,a ressurreicao,OBRAS/FONOGRAMAS/Eligible
a rua sabe,title,a rua sabe,OBRAS/FONOGRAMAS/Eligible
a ruptura da linearidade do tempo,title,a ruptura da linearidade do tempo,OBRAS/FONOGRAMAS/Eligible
a safadeza comecou,title,a safadeza comecou,OBRAS/FONOGRAMAS/Eligible
a sala azul,title,a sala azul,OBRAS/FONOGRAMAS/Eligible
a seca,title,a seca,OBRAS/FONOGRAMAS/Eligible
a sete palmos do chao,title,a sete palmos do chao,OBRAS/FONOGRAMAS/Eligible
a song of incubating despotism,title,a song of incubating despotism,OBRAS/FONOGRAMAS/Eligible
a tempestade,title,a tempestade,OBRAS/FONOGRAMAS/Eligible
a troco de nada,title,a troco de nada,OBRAS/FONOGRAMAS/Eligible
a tropa,title,a tropa,OBRAS/FONOGRAMAS/Eligible
a tropa de dar prazer,title,a tropa de dar prazer,OBRAS/FONOGRAMAS/Eligible
a tropa te dar prazer,title,a tropa te dar prazer,OBRAS/FONOGRAMAS/Eligible
a tropa vai te carimbar,title,a tropa vai te carimbar,OBRAS/FONOGRAMAS/Eligible
a vacina chegou,title,a vacina chegou,OBRAS/FONOGRAMAS/Eligible
a verdadeira dor (rap do pain),title,a verdadeira dor (rap do pain),OBRAS/FONOGRAMAS/Eligible
a vida bate,title,a vida bate,OBRAS/FONOGRAMAS/Eligible
a vida cobra,title,a vida cobra,OBRAS/FONOGRAMAS/Eligible
a vida continua,title,a vida continua,OBRAS/FONOGRAMAS/Eligible
a vida e bem melhor a dois,title,a vida e bem melhor a dois,OBRAS/FONOGRAMAS/Eligible
a vida e um vinho barato,title,a vida e um vinho barato,OBRAS/FONOGRAMAS/Eligible
a vida nao e essa,title,a vida nao e essa,OBRAS/FONOGRAMAS/Eligible
a vida nao e sopa,title,a vida nao e sopa,OBRAS/FONOGRAMAS/Eligible
a vida que voce me deu,title,a vida que voce me deu,OBRAS/FONOGRAMAS/Eligible
a vinganca do chorao 3,title,a vinganca do chorao 3,OBRAS/FONOGRAMAS/Eligible
a volante,title,a volante,OBRAS/FONOGRAMAS/Eligible
a voz do coracao (kiznaiver),title,a voz do coracao (kiznaiver),OBRAS/FONOGRAMAS/Eligible
a.c.m.,title,a.c.m.,OBRAS/FONOGRAMAS/Eligible
a.r.t.e,title,a.r.t.e,OBRAS/FONOGRAMAS/Eligible
a3,title,a3,OBRAS/FONOGRAMAS/Eligible
abandono,title,abandono,OBRAS/FONOGRAMAS/Eligible
abatedouro,title,abatedouro,OBRAS/FONOGRAMAS/Eligible
abencoado,title,abencoado,OBRAS/FONOGRAMAS/Eligible
abertura,title,abertura,OBRAS/FONOGRAMAS/Eligible
abismo,title,abismo,OBRAS/FONOGRAMAS/Eligible
aboio para o luar,title,aboio para o luar,OBRAS/FONOGRAMAS/Eligible
aboio pra vida,title,aboio pra vida,OBRAS/FONOGRAMAS/Eligible
