provider,file_stem,EDITORA,AUTOR,INTERPRETE,__source_sheet,amount_cents,amount_int,PROGRAMA,amount_numeric
Globo,MusicCueSheet_TvAberta_Outubro2023,SONY MUSIC PUBLISHING,ZE RAMALHO,ZE RAMALHO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,SONY MUSIC PUBLISHING,ZE RAMALHO,ZE RAMALHO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,SONY MUSIC PUBLISHING,ZE RAMALHO,ZE RAMALHO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,SONY MUSIC PUBLISHING,ZE RAMALHO,ZE RAMALHO,MusicCueSheet_TvAberta_Out23,0,0,,0.00
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24,"BOA MUSIC RIGHTS,BOA MUSIC RIGHTS","IURI RIO BRANCO,MARINA SENA",MARINA SENA,MusicCueSheet_Globoplay_Jan24,0,0,,0.00
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24,"BOA MUSIC RIGHTS,BOA MUSIC RIGHTS","IURI RIO BRANCO,MARINA SENA",MARINA SENA,MusicCueSheet_Globoplay_Jan24,0,0,,0.00
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24,"BMG,WARNER CHAPPELL,WARNER CHAPPELL,BMG","ANDRE LAUDZ,PETER WOLF,SETH JUSTMAN,ZEGON",TROPKILLAZ,MusicCueSheet_Globoplay_Jan24,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,BMG,RINCON SAPIENCIA,RINCON SAPIÊNCIA,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,A DESCOBRIR,GUI DA TROPA,GUI DA TROPA,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,WARNER CHAPPELL,CAETANO VELOSO,IVETE SANGALO,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"ADDAF,ADDAF","ALBERTO PAZ,EDSON MENEZES",BACO EXU DO BLUES,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"NOWA,NOWA","ANDINHO,GELEIA",MC CAROL,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"SONY MUSIC PUBLISHING,A DESCOBRIR,WARNER CHAPPELL,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING","BEYONCE KNOWLES,EUGENE RECORD,EUGENE RECORD,RICH HARRISON,SHAWN CARTER.",MC CAROL,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"WARNER CHAPPELL,WARNER CHAPPELL","RITA LEE,ROBERTO DE CARVALHO",IVETE SANGALO,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"WARNER CHAPPELL,WARNER CHAPPELL","RITA LEE,ROBERTO DE CARVALHO",IVETE SANGALO,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"OS LEMOS,WARNER CHAPPELL,UNIVERSAL MGB,WARNER CHAPPELL","BAVIERA,CT,HARIEL MEDELLA,KNUST",XAMA,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"OS LEMOS,WARNER CHAPPELL,UNIVERSAL MGB,WARNER CHAPPELL","BAVIERA,CT,HARIEL MEDELLA,KNUST",XAMA,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"OS LEMOS,WARNER CHAPPELL,UNIVERSAL MGB,WARNER CHAPPELL","BAVIERA,CT,HARIEL MEDELLA,KNUST",XAMA,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,DE LA CORDILLERA FLOW,BRISA FLOW,BRISA FLOW,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL","DIGAO,FRED,RODOLFO",JÃO,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING","ERASMO CARLOS,ROBERTO CARLOS",IVETE SANGALO,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"IESSI MUSIC PUBLISHING,IESSI MUSIC PUBLISHING","GAL SALES,XEXEU II",IVETE SANGALO,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,VRC PRODUCOES ARTISTICAS LTDA,MC CAROL,MC CAROL,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,L O S,LOURENCO,IVETE SANGALO,MusicCueSheet_Agosto23,0,0,,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,"FERMATA,FERMATA","ERASMO CARLOS,ROBERTO CARLOS",LUÍZA POSSI,MusicCueSheet_Agosto23,0,0,,0.00
