EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,__title_norm,__author_norm,__is_match,__sheet
DIVERSAS,DOMINGO LEGAL,1566,GRAVADO,PROGRAMA,14/01/2024,DEIXE QUEIMAR,Henrique Mendonça / Henrique Mendonça,HENRIQUE MENDONÇA,FUNDO MUSICAL,100.00%,1673.31,deixe queimar,henrique mendonca,True,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,BALMAIN,MC DANIEL / VINICIUS DOS SANTOS LESSA,MC DANIEL,PERFORMANCE,100.00%,390.96,balmain,mc daniel,True,Relatório Solicitação
DECK PRODUÇÕES ARTÍSTICAS LTDA,PROGRAMA DO RATINHO (REPRISE),3481,REPRISE,PROGRAMA,26/01/2024,SE JOGA,NALDO,NALDO,PERFORMANCE,100.00%,390.96,se joga,naldo,True,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO (REPRISE),3466,REPRISE,PROGRAMA,05/01/2024,ME APAIXONEI,M SACCO / PINOCCHIO,MARCOS E BELUTTI,PERFORMANCE,100.00%,390.96,me apaixonei,marcos e belutti,True,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO (REPRISE),3466,REPRISE,PROGRAMA,05/01/2024,CASA DE CABOCLO,CARLOS EDUARDO FERREIRA OLIVEIRA / GERALDO ANTONIO DE CARVALHO / LAUDARCY RICARDO DE OLIVEIRA,RICK E RENNER,PERFORMANCE,50.00%,195.48,casa de caboclo,rick e renner,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO (REPRISE),3466,REPRISE,PROGRAMA,05/01/2024,CASA DE CABOCLO,CARLOS EDUARDO FERREIRA OLIVEIRA / GERALDO ANTONIO DE CARVALHO / LAUDARCY RICARDO DE OLIVEIRA,RICK E RENNER,PERFORMANCE,50.00%,195.48,casa de caboclo,rick e renner,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,DOMINGO LEGAL (REPRISE),1567,REPRISE,PROGRAMA,21/01/2024,MORENA,BRENO CESAR LOLLI / DIEGO ITALLO RODRIGUES DE SOUZA / LUAN RAFAEL DOMINGOS SANTANA / LUCAS GONCALVES / SHYLTON FERNANDES SOUSA AQUINO,LUAN SANTANA,FUNDO MUSICAL,5.00%,39.1,morena,luan santana,True,Relatório Solicitação
DIVERSAS,DOMINGO LEGAL (REPRISE),1567,REPRISE,PROGRAMA,21/01/2024,MORENA,BRENO CESAR LOLLI / DIEGO ITALLO RODRIGUES DE SOUZA / LUAN RAFAEL DOMINGOS SANTANA / LUCAS GONCALVES / SHYLTON FERNANDES SOUSA AQUINO,LUAN SANTANA,FUNDO MUSICAL,95.00%,742.82,morena,luan santana,True,Relatório Solicitação
DIVERSAS,DOMINGO LEGAL (REPRISE),1566,REPRISE,PROGRAMA,14/01/2024,SE JOGA,Riva Amarante Nogueira Sandro / Silva Ronaldo Jorge Da,NALDO BENNY,FUNDO MUSICAL,100.00%,781.92,se joga,naldo benny,True,Relatório Solicitação
DIVERSAS,DOMINGO LEGAL,1568,GRAVADO,PROGRAMA,28/01/2024,VERMELHO,DANIEL GARCIA FELICIONE NAPOLEAO / MC DALESTE / PABLO BISPO / RUXELL,GLORIA GROOVE,PERFORMANCE,100.00%,836.65,vermelho,gloria groove,True,Relatório Solicitação
