Programa,Exibição,Música,Autor,Intérprete,Editora,Tipo,TOTAL,Mídia,Canal,Gênero,Episódio Nr.,Acervo Sim ou Não,Data da 1ª Exibição (apenas para conferência),Exibição.1,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
Lollapalooza 2025 - Jovem Dionísio,2025-03-28 00:00:00,Sinto Muito,"Bernardo Crisostomo Pasquali,Bernardo Derviche Hey,Gabriel Dunajski Mendes,Gustavo Pimentel Karam,Rafael Dunajski Mendes",Jovem Dionisio,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,SINTO MUITO,T-325.460.763-7,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Jão,2025-03-28 00:00:00,Doce,"Jão,Pedro Tofani,Zebu",Jão,"Universal Music Publishing Mgb Brasil Ltda,Warner Chappell Edicoes Musicais Ltda",Ao Vivo Performance,,,,,,,,,,DOCE,,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Jão,2025-03-28 00:00:00,Doce,"Jão,Pedro Tofani,Zebu",Jão,"Universal Music Publishing Mgb Brasil Ltda,Warner Chappell Edicoes Musicais Ltda",Ao Vivo Performance,,,,,,,,,,DOCE,T-313.795.621-5,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Agradece,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,AGRADECE,T-040.279.886-0,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Demarcação,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,DEMARCAÇÃO,T-313.247.524-8,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Ela Encanta,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,ELA ENCANTA,T-040.279.892-8,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Garoa,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,GAROA,T-040.279.889-3,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Larga-Te,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,LARGA-TE,T-335.236.280-8,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Mama Respect,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,MAMA RESPECT,T-040.437.544-5,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Mulheres No Controle,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,MULHERES NO CONTROLE,T-305.619.569-4,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Pay Attention,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,PAY ATTENTION,T-304.710.519-7,True,artist_alias,Relatório UBEM - Canal Brasil
Lollapalooza 2025 - Marina Peralta,2025-03-30 00:00:00,Peço Licença,Marina Peralta,Marina Peralta,Unknown Publisher,Ao Vivo Performance,,,,,,,,,,PEÇO LICENÇA,T-335.361.863-6,True,artist_alias,Relatório UBEM - Canal Brasil
Big Brother Brasil 25,2025-03-09 00:00:00,Maquina Do Tempo,Matue,Matue,"Warner Chappell Edicoes Musicais Ltda,Unknown Publisher",Fundo Musical,,,,,,,,,,MAQUINA DO TEMPO,T-040.341.279-2,True,artist_alias,Relatório UBEM - Canal Brasil
Big Brother Brasil 25,2025-03-09 00:00:00,Maquina Do Tempo,Matue,Matue,"Warner Chappell Edicoes Musicais Ltda,Unknown Publisher",Fundo Musical,,,,,,,,,,MÁQUINA DO TEMPO,T-301.567.051-2,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-26 00:00:00,Sebastiana,Rosil Cavalcanti,Anonimo,Irmaos Vitale Editores Ltda,Fundo Musical,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-27 00:00:00,Sebastiana,Rosil Cavalcanti,Anonimo,Irmaos Vitale Editores Ltda,Fundo Musical,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-19 00:00:00,Carcara,"Joao Do Valle,Jose Candido",Anonimo,Warner Chappell Edicoes Musicais Ltda,Fundo Musical,,,,,,,,,,CARCARA,T-040.347.911-7,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-19 00:00:00,Carcara,"Joao Do Valle,Jose Candido",Anonimo,Warner Chappell Edicoes Musicais Ltda,Fundo Musical,,,,,,,,,,CARCARÁ,T-308.468.519-4,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-20 00:00:00,Carcara,"Joao Do Valle,Jose Candido",Anonimo,Warner Chappell Edicoes Musicais Ltda,Fundo Musical,,,,,,,,,,CARCARA,T-040.347.911-7,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-20 00:00:00,Carcara,"Joao Do Valle,Jose Candido",Anonimo,Warner Chappell Edicoes Musicais Ltda,Fundo Musical,,,,,,,,,,CARCARÁ,T-308.468.519-4,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-03 00:00:00,Sebastiana,"Antonio Lesse Filho,Chico Anysio",Anonimo,Editora Musical Corisco Ltda,Performance,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-04 00:00:00,Sebastiana,"Antonio Lesse Filho,Chico Anysio",Anonimo,Editora Musical Corisco Ltda,Performance,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-03-09 00:00:00,Sebastiana,"Antonio Lesse Filho,Chico Anysio",Anonimo,Editora Musical Corisco Ltda,Performance,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-02-28 00:00:00,Máscara,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,MÁSCARA,,True,artist_alias,Relatório UBEM - Canal Brasil
Conversa Com Bial,2025-02-11 00:00:00,Fetiche,"Baco Exu Do Blues,Dactes,Diogo Alvaro Ferreira Moncorvo,Jlz,Marcelo De Lamare,Marcos Mauricio",Baco Exu Do Blues,Boa Musica Brasil Direitos Musicais Ltda,Performance,,,,,,,,,,FETICHE,T-316.009.896-0,True,artist_alias,Relatório UBEM - Canal Brasil
Conversa Com Bial,2025-02-12 00:00:00,Fetiche,"Baco Exu Do Blues,Dactes,Diogo Alvaro Ferreira Moncorvo,Jlz,Marcelo De Lamare,Marcos Mauricio",Baco Exu Do Blues,Boa Musica Brasil Direitos Musicais Ltda,Performance,,,,,,,,,,FETICHE,T-316.009.896-0,True,artist_alias,Relatório UBEM - Canal Brasil
Tempero De Família,2025-02-18 00:00:00,É O Que Me Interessa,"Dudu Falcão,Lenine",Lenine,"Boa Musica Brasil Direitos Musicais Ltda,Unknown Publisher,Warner Chappell Edicoes Musicais Ltda",Fundo Musical Acervo,,,,,,,,,,E O QUE ME INTERESSA,T-042.618.597-8,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-02-24 00:00:00,Sebastiana,"Antonio Lesse Filho,Chico Anysio",Anonimo,Editora Musical Corisco Ltda,Performance,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-02-25 00:00:00,Sebastiana,"Antonio Lesse Filho,Chico Anysio",Anonimo,Editora Musical Corisco Ltda,Performance,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Festival Universo Spanta,2025-02-09 00:00:00,Macetando,"Ivete Sangalo,Luciano Chaves,Samir Trindade",Ivete Sangalo,"Onerpm Comercio E Servicos De Midia Digital Ltda,Warner Chappell Edicoes Musicais Ltda",Performance,,,,,,,,,,MACETANDO,T-318.000.000-0,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-02-28 00:00:00,Teto De Vidro,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,TETO DE VIDRO,T-321.537.364-7,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-02-28 00:00:00,Deja Vu,"Peu Souza,Pitty",Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,DÉJÀ VU,T-308.187.765-4,True,artist_alias,Relatório UBEM - Canal Brasil
Versões,2025-02-28 00:00:00,Máscara,Pitty,Day,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,MÁSCARA,,True,artist_alias,Relatório UBEM - Canal Brasil
Conversa Com Bial,2025-02-11 00:00:00,Fetiche,"Baco Exu Do Blues,Dactes,Diogo Alvaro Ferreira Moncorvo,Jlz,Marcelo De Lamare,Marcos Mauricio",Baco Exu Do Blues,Boa Musica Brasil Direitos Musicais Ltda,Performance,,,,,,,,,,FETICHE,T-316.009.896-0,True,artist_alias,Relatório UBEM - Canal Brasil
Conversa Com Bial,2025-02-12 00:00:00,Fetiche,"Baco Exu Do Blues,Dactes,Diogo Alvaro Ferreira Moncorvo,Jlz,Marcelo De Lamare,Marcos Mauricio",Baco Exu Do Blues,Boa Musica Brasil Direitos Musicais Ltda,Performance,,,,,,,,,,FETICHE,T-316.009.896-0,True,artist_alias,Relatório UBEM - Canal Brasil
Tempero De Família,2025-02-18 00:00:00,É O Que Me Interessa,"Dudu Falcão,Lenine",Lenine,"Boa Musica Brasil Direitos Musicais Ltda,Unknown Publisher,Warner Chappell Edicoes Musicais Ltda",Fundo Musical Acervo,,,,,,,,,,E O QUE ME INTERESSA,T-042.618.597-8,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-02-24 00:00:00,Sebastiana,"Antonio Lesse Filho,Chico Anysio",Anonimo,Editora Musical Corisco Ltda,Performance,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Escolinha Professor Raimundo,2025-02-25 00:00:00,Sebastiana,"Antonio Lesse Filho,Chico Anysio",Anonimo,Editora Musical Corisco Ltda,Performance,,,,,,,,,,SEBASTIANA,,True,artist_alias,Relatório UBEM - Canal Brasil
Altas Horas,2024-11-09 00:00:00,Macetando,"Ivete Sangalo,Luciano Chaves,Samir Trindade",Ivete Sangalo,"Warner Chappell Edicoes Musicais Ltda,Onerpm Comercio E Servicos De Midia Digital Ltda",Performance,,,,,,,,,,MACETANDO,T-318.000.000-0,True,artist_alias,Relatório UBEM - Canal Brasil
Conversa Com Bial,2024-11-25 00:00:00,Fetiche,"Dactes,Diogo Alvaro Ferreira Moncorvo,Jlz,Marcelo De Lamare,Marcos Mauricio",Baco Exu Do Blues,Unknown Publisher,Performance,,,,,,,,,,FETICHE,T-316.009.896-0,True,artist_alias,Relatório UBEM - Canal Brasil
Rock The Mountain 2024,2024-11-23 00:00:00,Maria,"Jose Alberto De Oliveira Girao Filho,Lorentz,Matue,Palaze,Quantich Beats,Samuel Batista",Matue,"Warner Chappell Edicoes Musicais Ltda,Unknown Publisher",Performance,,,,,,,,,,MARIA,T-307.006.304-2,True,artist_alias,Relatório UBEM - Canal Brasil
Rock The Mountain 2024,2024-11-23 00:00:00,Maria,"Jose Alberto De Oliveira Girao Filho,Lorentz,Matue,Palaze,Quantich Beats,Samuel Batista",Matue,"Warner Chappell Edicoes Musicais Ltda,Unknown Publisher",Performance,,,,,,,,,,MARIA,T-311.953.638-4,True,artist_alias,Relatório UBEM - Canal Brasil
A Grande Familia,2024-11-11 00:00:00,Ouro De Tolo,Raul Seixas,Berna Ceppas,"Warner Chappell Edicoes Musicais Ltda,Nowa Producoes Artisticas Ltda Epp",Fundo Musical,,,,,,,,,,OURO DE TOLO,T-335.572.181-8,True,artist_alias,Relatório UBEM - Canal Brasil
Barão 40,2024-11-05 00:00:00,Coleção,"Cassiano,Paulo Zdanowski",Ivete Sangalo,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,COLEÇÃO,T-039.611.379-3,True,artist_alias,Relatório UBEM - Canal Brasil
Barão 40,2024-11-06 00:00:00,Coleção,"Cassiano,Paulo Zdanowski",Ivete Sangalo,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,COLEÇÃO,T-039.611.379-3,True,artist_alias,Relatório UBEM - Canal Brasil
Barão 40,2024-11-09 00:00:00,Coleção,"Cassiano,Paulo Zdanowski",Ivete Sangalo,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,COLEÇÃO,T-039.611.379-3,True,artist_alias,Relatório UBEM - Canal Brasil
Barão 40,2024-11-10 00:00:00,Coleção,"Cassiano,Paulo Zdanowski",Ivete Sangalo,Warner Chappell Edicoes Musicais Ltda,Performance,,,,,,,,,,COLEÇÃO,T-039.611.379-3,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-19 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-039.662.293-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-19 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-932.546.398-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-19 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-321.537.188-9,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-20 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-039.662.293-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-20 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-932.546.398-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-20 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-321.537.188-9,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-24 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-039.662.293-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-24 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-932.546.398-7,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-24 00:00:00,Drama,"Felipe Neo,Rico Dalasam",Rico Dalasam,"Bmg Rights Management Brasil Ltda,Boa Musica Brasil Direitos Musicais Ltda",Performance Acervo,,,,,,,,,,DRAMA,T-321.537.188-9,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-15 00:00:00,Jogo Da Vida,"Dante Augusto Lima Cabral Da Costa,Potyguara Bardo,Walther Nazario Da Silva Junior",Potyguara Bardo,Unknown Publisher,Performance,,,,,,,,,,JOGO DA VIDA,T-306.795.376-4,True,artist_alias,Relatório UBEM - Canal Brasil
Experimente,2024-11-17 00:00:00,Jogo Da Vida,"Dante Augusto Lima Cabral Da Costa,Potyguara Bardo,Walther Nazario Da Silva Junior",Potyguara Bardo,Unknown Publisher,Performance,,,,,,,,,,JOGO DA VIDA,T-306.795.376-4,True,artist_alias,Relatório UBEM - Canal Brasil
