PROGRAMA,Exibição,Música,Autor,Intérprete,Tipo,Sincronização,VOD,Total,Unnamed: 9,__title_norm,__author_norm,__is_match,__sheet
BORA BRASIL,2024-02-05,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-06,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-07,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-07,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-07,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-07,POC POC,CAROLZINHA / ELANA DARA / PEDRO SAMPAIO / RAFINHA RSQ,PEDRO SAMPAIO,BK,0.0,62.7795,62.7795,,poc poc,pedro sampaio,True,Relatorio_UBEM
BORA BRASIL,2024-02-09,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-09,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-13,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-13,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-13,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
BORA BRASIL,2024-02-13,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
JOGO ABERTO,2024-02-12,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
