TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
MAIS VOCE,MAIS VOCÊ,27/10/2023,10:34:40,5935,,,,GLOBO,2023.0,VIVI DE MARCO,3,SAMURAI,MUSICA COMERCIAL,DJAVAN,DJAVAN,12,BK,,LUANDA,,,,samurai,djavan,True,MusicCueSheet_TvAberta_Out23
MAIS VOCE,MAIS VOCÊ,27/10/2023,10:34:40,5935,,,,GLOBO,2023.0,VIVI DE MARCO,6,SE,MUSICA COMERCIAL,DJAVAN,DJAVAN,6,BK,,LUANDA,LUANDA,,,se,djavan,True,MusicCueSheet_TvAberta_Out23
FAVELA SOUNDS,,28/10/2023,14:53:38,28102023,,DF,,GLOBO,,,6,SALVE,MUSICA COMERCIAL,"TASHA,TRACIE",TASHA E TRACIE,44,PE,,"A DESCOBRIR,A DESCOBRIR",,,,salve,tasha e tracie,True,MusicCueSheet_TvAberta_Out23
DOMINGAO COM HUCK,DOMINGÃO COM HUCK,29/10/2023,18:05:50,112,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,126,MAE,MUSICA COMERCIAL,CHICO CHICO,CHICO CHICO,199,BK,,WARNER CHAPPELL,SELIM DE MUSICA,,,mae,chico chico,True,MusicCueSheet_TvAberta_Out23
ESPORTE ESPETACULAR,ESPORTE ESPETACULAR,29/10/2023,10:00:04,29102023,,BLOCO SP,,GLOBO,2023.0,ALI KAMEL,49,MINHA EX,MUSICA COMERCIAL,MC BIN LADEN,MC BIN LADEN,11,DM,,A DESCOBRIR,,,,minha ex,mc bin laden,True,MusicCueSheet_TvAberta_Out23
FANTASTICO,FANTÁSTICO,29/10/2023,20:30:41,2610,,,,GLOBO,2023.0,ALI KAMEL,71,PODEROSA,MUSICA COMERCIAL,NELSON KAE,THIAGUINHO,9,PE,,WARNER CHAPPELL,,,,poderosa,thiaguinho,True,MusicCueSheet_TvAberta_Out23
FANTASTICO,FANTÁSTICO,29/10/2023,20:30:41,2610,,,,GLOBO,2023.0,ALI KAMEL,304,PODEROSA,MUSICA COMERCIAL,NELSON KAE,THIAGUINHO,11,PE,,WARNER CHAPPELL,,,,poderosa,thiaguinho,True,MusicCueSheet_TvAberta_Out23
FANTASTICO,FANTÁSTICO,29/10/2023,20:30:41,2610,,,,GLOBO,2023.0,ALI KAMEL,314,PODEROSA,MUSICA COMERCIAL,NELSON KAE,THIAGUINHO,74,PE,,WARNER CHAPPELL,,,,poderosa,thiaguinho,True,MusicCueSheet_TvAberta_Out23
O MELHOR DA RESENHA,,29/10/2023,23:41:02,29102023,,DF,,GLOBO,,,16,VOCE DE VOLTA,MUSICA COMERCIAL,MARCO AURELIO FERREIRA,"LYANE MELLO,VICTOR GREGORIO E MARCO AURELIO",101,PE,,REDE PURA,,,,voce de volta,"lyane mello,victor gregorio e marco aurelio",True,MusicCueSheet_TvAberta_Out23
SANTA MISSA,SANTA MISSA,29/10/2023,06:16:34,29102023,,,,GLOBO,2023.0,ALI KAMEL,10,DESERTO,MUSICA COMERCIAL,ANDERSON FREIRE,PADRE MARCELO ROSSI,270,PE,,A DESCOBRIR,,,,deserto,padre marcelo rossi,True,MusicCueSheet_TvAberta_Out23
SANTA MISSA,SANTA MISSA,29/10/2023,06:16:34,29102023,,,,GLOBO,2023.0,ALI KAMEL,11,DESERTO,MUSICA COMERCIAL,ANDERSON FREIRE,PADRE MARCELO ROSSI,69,PE,,A DESCOBRIR,,,,deserto,padre marcelo rossi,True,MusicCueSheet_TvAberta_Out23
VAI QUE COLA,,30/10/2023,03:10:41,ESPECULACAO IMOBILIARIA,,4ª TEMPORADA,,GLOBO,,,2,BAILE DE FAVELA,MUSICA COMERCIAL,MC JOAO,MC JOAO,68,BK,,SONY MUSIC PUBLISHING,,,,baile de favela,mc joao,True,MusicCueSheet_TvAberta_Out23
