EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,823,GRAVADO,PROGRAMA,17/03/2024,TEM CABARÉ ESSA NOITE,D LESLY D LORA / FLAVINHO DO KADET / GEOFFREY ROYCE ROJAS / JAQUEZ JONATHAN,NATTAN,PERFORMANCE,40.00%,334.66,,,,True,artist_alias,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,823,GRAVADO,PROGRAMA,17/03/2024,TEM CABARÉ ESSA NOITE,D LESLY D LORA / FLAVINHO DO KADET / GEOFFREY ROYCE ROJAS / JAQUEZ JONATHAN,NATTAN,PERFORMANCE,40.00%,334.66,,,,True,artist_alias,Relatório Solicitação
IESSI MUSIC LABEL LTDA,PROGRAMA SILVIO SANTOS,824,GRAVADO,PROGRAMA,24/03/2024,FLOR DO REGGAE,IVETE SANGALO / GIGI / FABINHO O BRIAN,IVETE SANGALO,FUNDO MUSICAL,100.00%,1673.31,,,,True,artist_alias,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,822,GRAVADO,PROGRAMA,10/03/2024,A GENTE SE ENTREGA,JUVENIL JOSE DE LACERDA,NATTAN,FUNDO MUSICAL,100.00%,1673.31,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,ELIANA (REPRISE),758,REPRISE,PROGRAMA,31/03/2024,PROMETIDA,CARLOS ALBERTO VIVES / RICARDO BONADIO,ANDRÉ,PERFORMANCE,100.00%,390.96,,,,True,artist_alias,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS,818,GRAVADO,PROGRAMA,11/02/2024,ARERÊ,GILSON BABILONIA / CARLOS ALAIN / TAVARES DA SILVA,IVETE SANGALO,FUNDO MUSICAL,50.00%,"836,66",,,,True,artist_alias,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,818,GRAVADO,PROGRAMA,11/02/2024,ARERÊ,GILSON BABILONIA / CARLOS ALAIN / TAVARES DA SILVA,IVETE SANGALO,FUNDO MUSICAL,50.00%,"836,66",,,,True,artist_alias,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS,819,GRAVADO,PROGRAMA,18/02/2024,ABALOU,NILTON CERQUEIRA SANTOS,IVETE SANGALO,FUNDO MUSICAL,100.00%,"1673,31",,,,True,artist_alias,Relatório Solicitação
L.O.S PRODUÇÕES E PROMOÇÕES ARTÍSTICAS LTDA,PROGRAMA SILVIO SANTOS,819,GRAVADO,PROGRAMA,18/02/2024,SORTE GRANDE (POEIRA),LOURENCO,IVETE SANGALO,FUNDO MUSICAL,100.00%,"1673,31",,,,True,artist_alias,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,THE NOITE (REPRISE),2509,REPRISE,PROGRAMA,06/02/2024,BORBULHAS DE AMOR,JUAN LUIS GUERRA / JOSE DE RIBAMAR FERREIRA,FAGNER,FUNDO MUSICAL,100.00%,"781,92",,,,True,artist_alias,Relatório Solicitação
