provider,file_stem,title,artist,valor_text,Valor (BRL),"Valor (BRL, sem centavos)",amount_cents
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,"533,09",533.09,533,53309
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,"266,62",266.62,266,26662
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,"799,72",799.72,799,79972
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,"399,86",399.86,399,39986
SBT,Unificado SBT nov dez 23 e jan fev mar 24,HEY JOE,BILLY ROBERTS,390.96,390.96,390,39096
SBT,Unificado SBT nov dez 23 e jan fev mar 24,GOLD,STEPHANIE KIARA,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MORENA,ALEX SANDRO GOMES DE AGUIAR ALVES / ANTONIO AVELAR BORGES JUNIOR / MARCELO BERNARDES DE OLIVEIRA / RAFAEL LIBORIO DE SOUZA,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,CHOCOLATE,AUGUSTO CESAR DE OLIVEIRA TEIXEIRA / MIHAIL PLOPSCHI / PAULO SERGIO KOSTENBADER VALLE,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,557.71,557.71,557,55771
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,1115.6,11156.00,11156,1115600
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DEJA VU,LUAN SANTANA / LUCAS SANTOS / MATHEUS MARCOLINO / MATHEUS ALEIXO,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,CHOCOLATE,TIM MAIA,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MACETANDO,IVETE MARIA DIAS DE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR PEREIRA TRINDADE,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SEBASTIANA,ROSIL CAVALCANTI,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,O MELHOR PRA MIM,FRANCA COSTA / SOARES,418.32,418.32,418,41832
SBT,Unificado SBT nov dez 23 e jan fev mar 24,O MELHOR PRA MIM,FRANCA COSTA / SOARES,418.32,418.32,418,41832
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIANA,FRED JORGE / PAUL ANKA,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ABISMO,BRUNO RIGAMONTE CARNEIRO / EMANUELLA TENORIO ROCHA / RICARDUS MAXIMUS MIRANDA DA CUNHA JUNIOR / THALLYSON LIMA,209.16,209.16,209,20916
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ABISMO,BRUNO RIGAMONTE CARNEIRO / EMANUELLA TENORIO ROCHA / RICARDUS MAXIMUS MIRANDA DA CUNHA JUNIOR / THALLYSON LIMA,627.49,627.49,627,62749
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FLUTUANDO,Costa Oliveira  Raphael / Pereira Pinho  Matheus,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MACETANDO,IVETE MARIA DIAS DE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR PEREIRA TRINDADE,836.65,836.65,836,83665
