title_supplier,artist,title_norm,author_norm,title_ref,author,source,author_norm_supplier,author_norm_ref
Perigo,Tássia Reis,perigo,,PERIGO,T-301.572.557-8,,tassia reis,t-301.572.557-8
Perigo,Tássia Reis,perigo,,PERIGO,T-302.809.006-0,,tassia reis,t-302.809.006-0
Banana,Joyce Moreno,banana,,BANANA,T-303.113.484-2,,joyce moreno,t-303.113.484-2
Tudo,Joyce Moreno,tudo,,TUDO,T-301.718.723-0,,joyce moreno,t-301.718.723-0
Deixa Eu Sonhar,Joelma,deixa eu sonhar,,DEIXA EU SONHAR,T-040.000.420-7,,joelma,t-040.000.420-7
Lágrimas De Sangue,Yasmin Mendes,lagrimas de sangue,,LÁGRIMAS DE SANGUE,,,yasmin mendes,
Macetando,Ivete Sangalo,macetando,,MACETANDO,T-318.000.000-0,,ivete sangalo,t-318.000.000-0
Crucificados Pelo Sistema,Ratos Do Porão,crucificados pelo sistema,,CRUCIFICADOS PELO SISTEMA,,,ratos do porao,
Sentir Ódio E Nada Mais,Ratos De Porão,sentir odio e nada mais,,SENTIR ODIO E NADA MAIS,T-039.593.539-3,,ratos de porao,t-039.593.539-3
Deja Vu,Day,deja vu,,DÉJÀ VU,T-308.187.765-4,,day,t-308.187.765-4
Máscara,Day,mascara,,MÁSCARA,,,day,
Teto De Vidro,Day,teto de vidro,,TETO DE VIDRO,T-321.537.364-7,,day,t-321.537.364-7
Travessia,Milton Nascimento,travessia,,TRAVESSIA,T-313.642.509-3,,milton nascimento,t-313.642.509-3
Alvorada,Cartola,alvorada,,ALVORADA,T-040.011.846-8,,cartola,t-040.011.846-8
Alvorada,Cartola,alvorada,,ALVORADA,,,cartola,
Felicidade,Seu Jorge,felicidade,,FELICIDADE,,,seu jorge,
Final Feliz,Plateia: Márcia Rosa,final feliz,,FINAL FELIZ,T-315.996.147-0,,plateia: marcia rosa,t-315.996.147-0
Beijinho No Ombro,Valesca Popozuda,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,,valesca popozuda,t-311.569.064-3
Combate,"Aldair Playboy,Mc Wm",combate,,COMBATE,T-306.803.836-4,,"aldair playboy,mc wm",t-306.803.836-4
Treme Treme,"As Gêmeas Lacração,Mc Loma",treme treme,,TREME TREME,,,"as gemeas lacracao,mc loma",
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
Lugar Nenhum,Titãs,lugar nenhum,,LUGAR NENHUM,T-304.311.961-1,,titas,t-304.311.961-1
Desejo,Soweto,desejo,,DESEJO,T-322.628.586-1,,soweto,t-322.628.586-1
Gratidão,Soweto,gratidao,,GRATIDÃO,T-305.217.523-8,,soweto,t-305.217.523-8
Ilusão,Soweto,ilusao,,ILUSAO,T-040.011.902-9,,soweto,t-040.011.902-9
Ilusão,Soweto,ilusao,,ILUSÃO,,,soweto,
Perfume,Soweto,perfume,,PERFUME,T-305.215.262-8,,soweto,t-305.215.262-8
Te Quero,Soweto,te quero,,TE QUERO,T-305.218.717-0,,soweto,t-305.218.717-0
Nocaute,"Monic, The",nocaute,,NOCAUTE,T-317.794.059-5,,"monic, the",t-317.794.059-5
Dèjá Vu,Selvagens À Procura Da Lei,deja vu,,DÉJÀ VU,T-308.187.765-4,,selvagens a procura da lei,t-308.187.765-4
Ghost,Secret Weapons,ghost,,GHOST,,,secret weapons,
Alvorada,Cartola,alvorada,,ALVORADA,T-040.011.846-8,,cartola,t-040.011.846-8
Alvorada,Cartola,alvorada,,ALVORADA,,,cartola,
Final Feliz,Plateia: Márcia Rosa,final feliz,,FINAL FELIZ,T-315.996.147-0,,plateia: marcia rosa,t-315.996.147-0
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Treme Treme,"As Gêmeas Lacração,Mc Loma",treme treme,,TREME TREME,,,"as gemeas lacracao,mc loma",
Me Gusta,"Anitta,Cardi B,Myke Towers",me gusta,,ME GUSTA,,,"anitta,cardi b,myke towers",
Eu Vou Sentar,"Melody,Nattan",eu vou sentar,,EU VOU SENTAR,T-305.267.256-3,,"melody,nattan",t-305.267.256-3
Acabou,Jammil E Uma Noites,acabou,,ACABOU,T-039.497.780-0,,jammil e uma noites,t-039.497.780-0
Medo,"Baggios, The",medo,,MEDO,T-039.497.778-6,,"baggios, the",t-039.497.778-6
Medo,"Baggios, The",medo,,MEDO,,,"baggios, the",
Amora,Renato Teixeira,amora,,AMORA,,,renato teixeira,
Deixa Eu Sonhar,Joelma,deixa eu sonhar,,DEIXA EU SONHAR,T-040.000.420-7,,joelma,t-040.000.420-7
Lágrimas De Sangue,Yasmin Mendes,lagrimas de sangue,,LÁGRIMAS DE SANGUE,,,yasmin mendes,
Macetando,Ivete Sangalo,macetando,,MACETANDO,T-318.000.000-0,,ivete sangalo,t-318.000.000-0
Alvorada,Cartola,alvorada,,ALVORADA,T-040.011.846-8,,cartola,t-040.011.846-8
Alvorada,Cartola,alvorada,,ALVORADA,,,cartola,
Travessia,Milton Nascimento,travessia,,TRAVESSIA,T-313.642.509-3,,milton nascimento,t-313.642.509-3
Vamos Fugir,Gilberto Gil,vamos fugir,,VAMOS FUGIR,T-305.415.581-2,,gilberto gil,t-305.415.581-2
Together,She & Him,together,,TOGETHER,,,she & him,
Felicidade,Rita Lee,felicidade,,FELICIDADE,,,rita lee,
Monalisa,Jorge Vercillo,monalisa,,MONALISA,,,jorge vercillo,
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
Mulher Rendeira,Trio Nordestino,mulher rendeira,,MULHER RENDEIRA,T-039.167.658-6,,trio nordestino,t-039.167.658-6
Eu Vou Sentar,"Melody,Nattan",eu vou sentar,,EU VOU SENTAR,T-305.267.256-3,,"melody,nattan",t-305.267.256-3
Acabou,Jammil E Uma Noites,acabou,,ACABOU,T-039.497.780-0,,jammil e uma noites,t-039.497.780-0
Medo,"Baggios, The",medo,,MEDO,T-039.497.778-6,,"baggios, the",t-039.497.778-6
Medo,"Baggios, The",medo,,MEDO,,,"baggios, the",
Sideral,My Magical Glowing Lens,sideral,,SIDERAL,,,my magical glowing lens,
Amora,Renato Teixeira,amora,,AMORA,,,renato teixeira,
Desejo,Soweto,desejo,,DESEJO,T-322.628.586-1,,soweto,t-322.628.586-1
Gratidão,Soweto,gratidao,,GRATIDÃO,T-305.217.523-8,,soweto,t-305.217.523-8
Ilusão,Soweto,ilusao,,ILUSAO,T-040.011.902-9,,soweto,t-040.011.902-9
Ilusão,Soweto,ilusao,,ILUSÃO,,,soweto,
Perfume,Soweto,perfume,,PERFUME,T-305.215.262-8,,soweto,t-305.215.262-8
Te Quero,Soweto,te quero,,TE QUERO,T-305.218.717-0,,soweto,t-305.218.717-0
Macetando,Banda Lady Night,macetando,,MACETANDO,T-318.000.000-0,,banda lady night,t-318.000.000-0
Felicidade,Rita Lee,felicidade,,FELICIDADE,,,rita lee,
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
Mulher Rendeira,Trio Nordestino,mulher rendeira,,MULHER RENDEIRA,T-039.167.658-6,,trio nordestino,t-039.167.658-6
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Sideral,My Magical Glowing Lens,sideral,,SIDERAL,,,my magical glowing lens,
Cuidado,Tuyo,cuidado,,CUIDADO,T-317.794.225-1,,tuyo,t-317.794.225-1
Cuidado,Tuyo,cuidado,,CUIDADO,,,tuyo,
Deixa Eu Sonhar,Joelma,deixa eu sonhar,,DEIXA EU SONHAR,T-040.000.420-7,,joelma,t-040.000.420-7
Lágrimas De Sangue,Yasmin Mendes,lagrimas de sangue,,LÁGRIMAS DE SANGUE,,,yasmin mendes,
Macetando,Ivete Sangalo,macetando,,MACETANDO,T-318.000.000-0,,ivete sangalo,t-318.000.000-0
Lua,Nilson Neto,lua,,LUA,,,nilson neto,
Essa É Pra Você,Arthur Espindola,essa e pra voce,,ESSA É PRA VOCE,T-040.048.737-7,,arthur espindola,t-040.048.737-7
Vermelho,Chico Da Silva,vermelho,,VERMELHO,T-313.315.106-7,,chico da silva,t-313.315.106-7
Count On Me,Bruno Mars,count on me,,COUNT ON ME,T-320.126.127-6,,bruno mars,t-320.126.127-6
Felicidade,Rita Lee,felicidade,,FELICIDADE,,,rita lee,
Outdoor,"Inspirasom,Rodrigo Sant'anna",outdoor,,OUTDOOR,T-301.719.331-2,,"inspirasom,rodrigo sant'anna",t-301.719.331-2
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-303.014.916-3,,"felipe original,js,pedro sampaio",t-303.014.916-3
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-304.715.440-1,,"felipe original,js,pedro sampaio",t-304.715.440-1
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-325.955.974-1,,"felipe original,js,pedro sampaio",t-325.955.974-1
Mulher Rendeira,Trio Nordestino,mulher rendeira,,MULHER RENDEIRA,T-039.167.658-6,,trio nordestino,t-039.167.658-6
Kamasutra,Lauana Prado,kamasutra,,KAMASUTRA,T-305.217.338-9,,lauana prado,t-305.217.338-9
Baobá,Caio Prado,baoba,,BAOBA,T-303.385.332-2,,caio prado,t-303.385.332-2
Cuidado,Tuyo,cuidado,,CUIDADO,T-317.794.225-1,,tuyo,t-317.794.225-1
Cuidado,Tuyo,cuidado,,CUIDADO,,,tuyo,
Quem Sabe,"Beatriz Rabello,Paulinho Da Viola",quem sabe,,QUEM SABE,,,"beatriz rabello,paulinho da viola",
Deixa Eu Sonhar,Joelma,deixa eu sonhar,,DEIXA EU SONHAR,T-040.000.420-7,,joelma,t-040.000.420-7
Lágrimas De Sangue,Yasmin Mendes,lagrimas de sangue,,LÁGRIMAS DE SANGUE,,,yasmin mendes,
Macetando,Ivete Sangalo,macetando,,MACETANDO,T-318.000.000-0,,ivete sangalo,t-318.000.000-0
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Sem Filtro,Iza,sem filtro,,SEM FILTRO,T-335.572.263-9,,iza,t-335.572.263-9
Desejo,Soweto,desejo,,DESEJO,T-322.628.586-1,,soweto,t-322.628.586-1
Gratidão,Soweto,gratidao,,GRATIDÃO,T-305.217.523-8,,soweto,t-305.217.523-8
Ilusão,Soweto,ilusao,,ILUSAO,T-040.011.902-9,,soweto,t-040.011.902-9
Ilusão,Soweto,ilusao,,ILUSÃO,,,soweto,
Perfume,Soweto,perfume,,PERFUME,T-305.215.262-8,,soweto,t-305.215.262-8
Te Quero,Soweto,te quero,,TE QUERO,T-305.218.717-0,,soweto,t-305.218.717-0
Lua,Nilson Neto,lua,,LUA,,,nilson neto,
Proposta,Pepê,proposta,,PROPOSTA,T-313.413.810-2,,pepe,t-313.413.810-2
Essa É Pra Você,Arthur Espindola,essa e pra voce,,ESSA É PRA VOCE,T-040.048.737-7,,arthur espindola,t-040.048.737-7
Vermelho,Chico Da Silva,vermelho,,VERMELHO,T-313.315.106-7,,chico da silva,t-313.315.106-7
Aurora,Aurora Miranda,aurora,,AURORA,,,aurora miranda,
Sentadão,Pedro Sampaio,sentadao,,SENTADÃO,T-303.014.916-3,,pedro sampaio,t-303.014.916-3
Sentadão,Pedro Sampaio,sentadao,,SENTADÃO,T-304.715.440-1,,pedro sampaio,t-304.715.440-1
Sentadão,Pedro Sampaio,sentadao,,SENTADÃO,T-325.955.974-1,,pedro sampaio,t-325.955.974-1
Felicidade,Rita Lee,felicidade,,FELICIDADE,,,rita lee,
Outdoor,"Inspirasom,Rodrigo Sant'anna",outdoor,,OUTDOOR,T-301.719.331-2,,"inspirasom,rodrigo sant'anna",t-301.719.331-2
Malandramente,"Dennis Dj,Nandinho,Nego Bam",malandramente,,MALANDRAMENTE,T-308.115.009-2,,"dennis dj,nandinho,nego bam",t-308.115.009-2
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
Terremoto,"Anitta,Mc Kevinho",terremoto,,TERREMOTO,T-307.297.647-3,,"anitta,mc kevinho",t-307.297.647-3
Beijinho No Ombro,Andy Gercker,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,,andy gercker,t-311.569.064-3
Kamasutra,Lauana Prado,kamasutra,,KAMASUTRA,T-305.217.338-9,,lauana prado,t-305.217.338-9
Ela,"Ferrugem,Sorriso Maroto",ela,,ELA,T-322.696.235-8,,"ferrugem,sorriso maroto",t-322.696.235-8
São Paulo,"Anitta,Weeknd, The",sao paulo,,SÃO PAULO,,,"anitta,weeknd, the",
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Baobá,Caio Prado,baoba,,BAOBA,T-303.385.332-2,,caio prado,t-303.385.332-2
Medo,"Baggios, The",medo,,MEDO,T-039.497.778-6,,"baggios, the",t-039.497.778-6
Medo,"Baggios, The",medo,,MEDO,,,"baggios, the",
Sideral,My Magical Glowing Lens,sideral,,SIDERAL,,,my magical glowing lens,
Cuidado,Tuyo,cuidado,,CUIDADO,T-317.794.225-1,,tuyo,t-317.794.225-1
Cuidado,Tuyo,cuidado,,CUIDADO,,,tuyo,
Quem Sabe,"Beatriz Rabello,Paulinho Da Viola",quem sabe,,QUEM SABE,,,"beatriz rabello,paulinho da viola",
Amora,Renato Teixeira,amora,,AMORA,,,renato teixeira,
Desejo,Soweto,desejo,,DESEJO,T-322.628.586-1,,soweto,t-322.628.586-1
Gratidão,Soweto,gratidao,,GRATIDÃO,T-305.217.523-8,,soweto,t-305.217.523-8
Ilusão,Soweto,ilusao,,ILUSAO,T-040.011.902-9,,soweto,t-040.011.902-9
Ilusão,Soweto,ilusao,,ILUSÃO,,,soweto,
Perfume,Soweto,perfume,,PERFUME,T-305.215.262-8,,soweto,t-305.215.262-8
Te Quero,Soweto,te quero,,TE QUERO,T-305.218.717-0,,soweto,t-305.218.717-0
Luz,Djavan,luz,,LUZ,T-040.285.617-0,,djavan,t-040.285.617-0
Luz,Djavan,luz,,LUZ,,,djavan,
Luz,Djavan,luz,,LUZ,T-040.279.887-1,,djavan,t-040.279.887-1
Socadona,Preta Gil,socadona,,SOCADONA,T-305.217.548-7,,preta gil,t-305.217.548-7
Socadona,Preta Gil,socadona,,SOCADONA,,,preta gil,
Felicidade,Rita Lee,felicidade,,FELICIDADE,,,rita lee,
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-303.014.916-3,,"felipe original,js,pedro sampaio",t-303.014.916-3
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-304.715.440-1,,"felipe original,js,pedro sampaio",t-304.715.440-1
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-325.955.974-1,,"felipe original,js,pedro sampaio",t-325.955.974-1
Mulher Rendeira,Trio Nordestino,mulher rendeira,,MULHER RENDEIRA,T-039.167.658-6,,trio nordestino,t-039.167.658-6
Beijinho No Ombro,Andy Gercker,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,,andy gercker,t-311.569.064-3
Linha De Frente,"Budah,Tibery",linha de frente,,LINHA DE FRENTE,T-308.636.270-7,,"budah,tibery",t-308.636.270-7
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Acabou,Jammil E Uma Noites,acabou,,ACABOU,T-039.497.780-0,,jammil e uma noites,t-039.497.780-0
Baobá,Caio Prado,baoba,,BAOBA,T-303.385.332-2,,caio prado,t-303.385.332-2
Medo,"Baggios, The",medo,,MEDO,T-039.497.778-6,,"baggios, the",t-039.497.778-6
Medo,"Baggios, The",medo,,MEDO,,,"baggios, the",
Sideral,My Magical Glowing Lens,sideral,,SIDERAL,,,my magical glowing lens,
Cuidado,Tuyo,cuidado,,CUIDADO,T-317.794.225-1,,tuyo,t-317.794.225-1
Cuidado,Tuyo,cuidado,,CUIDADO,,,tuyo,
Amora,Renato Teixeira,amora,,AMORA,,,renato teixeira,
Macetando,Ivete Sangalo,macetando,,MACETANDO,T-318.000.000-0,,ivete sangalo,t-318.000.000-0
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Sem Filtro,Iza,sem filtro,,SEM FILTRO,T-335.572.263-9,,iza,t-335.572.263-9
Travessia,Milton Nascimento,travessia,,TRAVESSIA,T-313.642.509-3,,milton nascimento,t-313.642.509-3
Monalisa,Jorge Vercillo,monalisa,,MONALISA,,,jorge vercillo,
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Fuleragem,Mc Wm,fuleragem,,FULERAGEM,T-305.214.250-0,,mc wm,t-305.214.250-0
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-303.014.916-3,,"felipe original,js,pedro sampaio",t-303.014.916-3
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-304.715.440-1,,"felipe original,js,pedro sampaio",t-304.715.440-1
Sentadão,"Felipe Original,Js,Pedro Sampaio",sentadao,,SENTADÃO,T-325.955.974-1,,"felipe original,js,pedro sampaio",t-325.955.974-1
Mulher Rendeira,Trio Nordestino,mulher rendeira,,MULHER RENDEIRA,T-039.167.658-6,,trio nordestino,t-039.167.658-6
Treme Treme,"As Gêmeas Lacração,Mc Loma",treme treme,,TREME TREME,,,"as gemeas lacracao,mc loma",
Beijinho No Ombro,Andy Gercker,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,,andy gercker,t-311.569.064-3
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Baobá,Caio Prado,baoba,,BAOBA,T-303.385.332-2,,caio prado,t-303.385.332-2
Praga,Dônica,praga,,PRAGA,T-317.818.119-2,,donica,t-317.818.119-2
Desejo,Soweto,desejo,,DESEJO,T-322.628.586-1,,soweto,t-322.628.586-1
Gratidão,Soweto,gratidao,,GRATIDÃO,T-305.217.523-8,,soweto,t-305.217.523-8
Ilusão,Soweto,ilusao,,ILUSAO,T-040.011.902-9,,soweto,t-040.011.902-9
Ilusão,Soweto,ilusao,,ILUSÃO,,,soweto,
Perfume,Soweto,perfume,,PERFUME,T-305.215.262-8,,soweto,t-305.215.262-8
Te Quero,Soweto,te quero,,TE QUERO,T-305.218.717-0,,soweto,t-305.218.717-0
Se Foi,Aninha Portal,se foi,,SE FOI,T-039.497.697-6,,aninha portal,t-039.497.697-6
Verdade,Karinah,verdade,,VERDADE,T-302.003.913-4,,karinah,t-302.003.913-4
Proposta,Pepê,proposta,,PROPOSTA,T-313.413.810-2,,pepe,t-313.413.810-2
Essa É Pra Você,Arthur Espindola,essa e pra voce,,ESSA É PRA VOCE,T-040.048.737-7,,arthur espindola,t-040.048.737-7
Vermelho,Chico Da Silva,vermelho,,VERMELHO,T-313.315.106-7,,chico da silva,t-313.315.106-7
Sentadão,Pedro Sampaio,sentadao,,SENTADÃO,T-303.014.916-3,,pedro sampaio,t-303.014.916-3
Sentadão,Pedro Sampaio,sentadao,,SENTADÃO,T-304.715.440-1,,pedro sampaio,t-304.715.440-1
Sentadão,Pedro Sampaio,sentadao,,SENTADÃO,T-325.955.974-1,,pedro sampaio,t-325.955.974-1
Domingo,Inspirasom,domingo,,DOMINGO,T-307.003.485-0,,inspirasom,t-307.003.485-0
Domingo,Inspirasom,domingo,,DOMINGO,T-301.991.455-3,,inspirasom,t-301.991.455-3
Até O Céu,"Anitta,Mc Cabelinho",ate o ceu,,ATÉ O CÉU,T-333.819.469-3,,"anitta,mc cabelinho",t-333.819.469-3
Deja Vu,Olivia Rodrigo,deja vu,,DÉJÀ VU,T-308.187.765-4,,olivia rodrigo,t-308.187.765-4
Ela,"Ferrugem,Sorriso Maroto",ela,,ELA,T-322.696.235-8,,"ferrugem,sorriso maroto",t-322.696.235-8
São Paulo,"Anitta,Weeknd, The",sao paulo,,SÃO PAULO,,,"anitta,weeknd, the",
Praga,Dônica,praga,,PRAGA,T-317.818.119-2,,donica,t-317.818.119-2
Drama,Rico Dalasam,drama,,DRAMA,T-039.662.293-7,,rico dalasam,t-039.662.293-7
Drama,Rico Dalasam,drama,,DRAMA,T-932.546.398-7,,rico dalasam,t-932.546.398-7
Drama,Rico Dalasam,drama,,DRAMA,T-321.537.188-9,,rico dalasam,t-321.537.188-9
Macetando,Ivete Sangalo,macetando,,MACETANDO,T-318.000.000-0,,ivete sangalo,t-318.000.000-0
Brisa,Iza,brisa,,BRISA,T-315.799.145-8,,iza,t-315.799.145-8
Brisa,Iza,brisa,,BRISA,T-316.180.981-6,,iza,t-316.180.981-6
Brisa,Iza,brisa,,BRISA,T-326.766.166-1,,iza,t-326.766.166-1
Sem Filtro,Iza,sem filtro,,SEM FILTRO,T-335.572.263-9,,iza,t-335.572.263-9
Se Foi,Aninha Portal,se foi,,SE FOI,T-039.497.697-6,,aninha portal,t-039.497.697-6
Temporal,Bruna Mendez,temporal,,TEMPORAL,T-307.003.180-6,,bruna mendez,t-307.003.180-6
Verdade,Karinah,verdade,,VERDADE,T-302.003.913-4,,karinah,t-302.003.913-4
Simbolo Da Paz,Ventania,simbolo da paz,,SÍMBOLO DA PAZ,,,ventania,
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-315.799.145-8,,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-315.799.145-8
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-316.180.981-6,,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-316.180.981-6
Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",brisa,,BRISA,T-326.766.166-1,,"andy gercker,evelyn castro,roberta rodrigues,rodrigo sant'anna",t-326.766.166-1
Fica,"Anavitória,Matheus & Kauan",fica,,FICA,,,"anavitoria,matheus & kauan",
Me Perdoa,Ferrugem,me perdoa,,ME PERDOA,,,ferrugem,
Tudo,Liniker,tudo,,TUDO,T-301.718.723-0,,liniker,t-301.718.723-0
Deja Vu,Olivia Rodrigo,deja vu,,DÉJÀ VU,T-308.187.765-4,,olivia rodrigo,t-308.187.765-4
Drama,Rico Dalasam,drama,,DRAMA,T-039.662.293-7,,rico dalasam,t-039.662.293-7
Drama,Rico Dalasam,drama,,DRAMA,T-932.546.398-7,,rico dalasam,t-932.546.398-7
