provider,supplier_file,sheet,supplier_title,supplier_artist,matched_term,matched_identifier,match_type
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Maliciosa,Ludmilla,MALICIOSA,T-308.115.017-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Beijinho No Ombro,Valesca Popozuda,BEIJINHO NO OMBRO,T-311.569.064-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentou E Gostou,"Dj Rd,Mc Jottapê,Mc M10",SENTOU E GOSTOU,T-303.761.734-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Eu Vou Sentar,"Melody,Nattan",EU VOU SENTAR,T-305.267.256-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Verdade,Karinah,VERDADE,T-302.003.913-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,De Novo,Vitor Kley,DE NOVO,T-319.876.158-5,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Eu Vou Sentar,"Melody,Nattan",EU VOU SENTAR,T-305.267.256-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,São Paulo,"Anitta,Weeknd, The",SÃO PAULO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Malandramente,"Dennis Dj,Nandinho,Nego Bam",MALANDRAMENTE,T-308.115.009-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,São Paulo,"Anitta,Weeknd, The",SÃO PAULO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Final Feliz,Plateia: Márcia Rosa,FINAL FELIZ,T-315.996.147-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",BRISA,T-315.799.145-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",BRISA,T-316.180.981-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,"Andy Gercker,Evelyn Castro,Roberta Rodrigues,Rodrigo Sant'anna",BRISA,T-326.766.166-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Treme Treme,"As Gêmeas Lacração,Mc Loma",TREME TREME,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Me Gusta,"Anitta,Cardi B,Myke Towers",ME GUSTA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Pedra,Technobrass,PEDRA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Dna,"Kills, The",DNA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Pedra,Technobrass,PEDRA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Dna,"Kills, The",DNA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Pedra,Technobrass,PEDRA,,title_only
