provider,file_stem,source_sheet,programa,data_exibicao,numero_programa,titulo_musica,autor,interprete,matched_title,matched_identifier_iswc,eligibility_basis,uncertain_match,amount_cents,amount_int,valor_editora_brl
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-12-13 00:00:00,,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,TENTAÇÃO,T-322.163.164-3,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-12-13 00:00:00,,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,TENTAÇÃO,T-322.163.164-3,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-12-13 00:00:00,,Tentação,"Drik Barbosa,Grou,L1ra,Oz,Raoni Kanalha,Rdd,Thiago Dos Reis Pereira,Wallace Ferreira",Drik Barbosa,TENTAÇÃO,T-322.163.164-3,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Tô De Graça,2022-07-20 00:00:00,,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,XERECARD,T-305.213.989-2,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Tô De Graça,2022-07-20 00:00:00,,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,XERECARD,T-305.213.989-2,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Humor Multishow - Tô De Graça,2022-07-20 00:00:00,,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,XERECARD,T-305.213.989-2,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Tô De Graça,2022-07-20 00:00:00,,Xerecard,"Jeff Costa,Mc Danny",Mc Danny,XERECARD,T-305.213.989-2,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Setlist,NaT,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,AQUELAS COISAS,T-317.817.145-0,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Setlist,NaT,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,AQUELAS COISAS,T-317.817.145-0,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Setlist,NaT,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,AQUELAS COISAS,T-317.817.145-0,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Setlist,NaT,,Aquelas Coisas,João Marcelo Cardoso Ramalho,Choice,AQUELAS COISAS,T-317.817.145-0,artist_alias,True,0,0,
